36 mini_c2tm_192.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], -2.0
35 mini_c2tm_193.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], -2.5
36 mini_c2tm_194.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], -3.0
38 mini_c2tm_195.seq 3.8, 2.26, -3.0, 102.8, -7.572, [100.0], [1], [180], -3.5
31 mini_c2tm_196.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], 2.0
34 mini_c2tm_197.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], 2.5
33 mini_c2tm_198.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], 3.0
31 mini_c2tm_199.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], -2.0
21 mini_c2tm_19.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], -3.0
30 mini_c2tm_1.seq 3.8, 2.26, -3.0, 102.8, -7.572, [10.0], [1], [180], 2.5
34 mini_c2tm_200.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], -2.5
33 mini_c2tm_201.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], -3.0
33 mini_c2tm_202.seq 3.8, 2.26, -3.5, 102.8, -8.843, [100.0], [1], [180], -3.5
29 mini_c2tm_203.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], 2.0
29 mini_c2tm_204.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], 2.5
28 mini_c2tm_205.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], 3.0
29 mini_c2tm_206.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], -2.0
29 mini_c2tm_207.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], -2.5
28 mini_c2tm_208.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], -3.0
30 mini_c2tm_209.seq 3.8, 2.26, -4.0, 102.8, -10.119, [100.0], [1], [180], -3.5
28 mini_c2tm_20.seq 3.8, 2.26, -4.0, 102.8, -10.119, [10.0], [1], [180], -3.5
50 mini_c2tm_210.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], 2.0
42 mini_c2tm_211.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], 2.5
46 mini_c2tm_212.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], 3.0
50 mini_c2tm_213.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], -2.0
42 mini_c2tm_214.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], -2.5
46 mini_c2tm_215.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], -3.0
47 mini_c2tm_216.seq 4.0, 2.26, -3.0, 102.8, -7.973, [10.0], [1], [180], -3.5
45 mini_c2tm_217.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], 2.0
43 mini_c2tm_218.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], 2.5
42 mini_c2tm_219.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], 3.0
19 mini_c2tm_21.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], 2.0
45 mini_c2tm_220.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], -2.0
43 mini_c2tm_221.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], -2.5
42 mini_c2tm_222.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], -3.0
48 mini_c2tm_223.seq 4.0, 2.26, -3.5, 102.8, -9.312, [10.0], [1], [180], -3.5
40 mini_c2tm_224.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], 2.0
40 mini_c2tm_225.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], 2.5
39 mini_c2tm_226.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], 3.0
40 mini_c2tm_227.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], -2.0
39 mini_c2tm_228.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], -2.5
39 mini_c2tm_229.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], -3.0
26 mini_c2tm_22.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], 2.5
44 mini_c2tm_230.seq 4.0, 2.26, -4.0, 102.8, -10.657, [10.0], [1], [180], -3.5
44 mini_c2tm_231.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], 2.0
47 mini_c2tm_232.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], 2.5
50 mini_c2tm_233.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], 3.0
44 mini_c2tm_234.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], -2.0
47 mini_c2tm_235.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], -2.5
50 mini_c2tm_236.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], -3.0
48 mini_c2tm_237.seq 4.0, 2.26, -3.0, 102.8, -7.973, [20.0], [1], [180], -3.5
44 mini_c2tm_238.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], 2.0
43 mini_c2tm_239.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], 2.5
23 mini_c2tm_23.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], 3.0
47 mini_c2tm_240.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], 3.0
44 mini_c2tm_241.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], -2.0
43 mini_c2tm_242.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], -2.5
47 mini_c2tm_243.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], -3.0
