# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [110.0, 110.0, 110.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [115.0, 115.0, 115.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
